id,answer,wrong_answer,error_note
prob_005,4000000,4.0799999550000226e+35,var_num
prob_008,239,240,var_type
prob_013,480,486,var_type
prob_024,50.0,47.77777777777778,var_type,check
prob_025,540,547.6666666666667,var_type
prob_028,,4400.0,problem
prob_039,,0.0,problem
prob_045,6794.0,6785.714285714285,var_type
prob_048,36.0,0.0,const_error
prob_059,,0.0,problem
prob_074,1500.0,1400.0,const_error
prob_078,17,,param_error
prob_088,14.0,0.0,const_error & var_type
prob_090,110.0,109.77443609022556,var_type
prob_100,64,63.33333,var_type
prob_102,11275.0,,param_error
prob_105,40.0,0.0,logic_error
prob_112,735,733.3333333333331,var_type
prob_113,306,309.0909090909091,var_type,check
prob_114,368.0,366.6666666666667,var_type
prob_115,17.333333333333332,34.166666666666664,obj_error
prob_117,970.0,1260.0,code_error
prob_119,20.8,6.857142857142857,code_error
prob_127,76.0,82.28571428571428,var_type
prob_130,72.0,66.66666666666667,var_type
prob_131,50.0,11.0,var_type
prob_133,,0.0,problem
prob_151,555.0,570.0,const_error
prob_157,75.0,0.0,param_error
prob_170,310.0,,param_error
prob_177,78.0,0.0,param_error
prob_181,16.0,24.0,obj_error
prob_180,230.0,,param_error
prob_187,37.0,0.0,param_error
prob_190,133200.0,133333.3333333333,var_type
prob_191,11980.0,12000.0,var_type
prob_196,290.5,291.6666666666667,var_type,check
prob_206,960.0,12.0,const_error
prob_215,100.0,56.0,param_error
prob_219,690.0,0.0,obj_error
prob_231,460.0,240.0,const_error
prob_235,990.0,0.0,var_num
prob_249,40.0,0.0,obj_error
prob_256,333.0,428.57142857142856,var_num
prob_259,56.0,56.0,const_error
prob_260,551.7241379310344,,var_logic
prob_262,108.0,50.0,obj_error
prob_263,3220,3200,const_errpr
prob_268,,0.0,problem
